ticket_number,subject,description,department,category,priority,ward,is_spam,submit_count,created_at,resolution_hours,sla_breached,status
CMP-563763,No receipt generated,"The payment for property tax was successful, but no digital receipt was generated or sent.",billing,billing,low,Ward 10,0,1,2026-04-18T22:08:40.499022,27.13,0,resolved
CMP-876722,No receipt generated,"The payment for property tax was successful, but no digital receipt was generated or sent.",billing,billing,low,Ward 10,0,1,2026-04-26T14:40:40.499022,53.91,0,resolved
CMP-675806,Meter billing issue,My digital electricity meter is running twice as fast even when all switches are turned off.,electricity,electricity,low,Ward 7,0,1,2026-05-22T02:28:40.499022,19.38,0,resolved
CMP-161107,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 7.,general,general,low,Ward 7,0,2,2026-06-01T09:49:40.499022,42.2,0,resolved
CMP-703913,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 7.,general,general,low,Ward 7,0,2,2026-05-19T23:58:40.499022,95.01,0,resolved
CMP-301764,Power outage,Unscheduled power cuts for the past 8 hours in Ward 2. Electronic items are getting damaged.,electricity,electricity,low,Ward 2,0,2,2026-05-13T19:29:40.499022,14.79,0,resolved
CMP-550296,Dead animal removal,A dead stray dog is lying on the side of the road near Ward 5 park. It is smelling terrible.,sanitation,sanitation,low,Ward 5,0,1,2026-04-15T17:49:40.499022,44.77,0,resolved
CMP-933005,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 4,0,1,2026-05-11T11:47:40.499022,27.64,0,resolved
CMP-206989,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 5.,general,general,low,Ward 5,0,2,2026-05-19T10:15:40.499022,113.58,0,resolved
CMP-251232,Broken footpath,The pedestrian footpath is completely broken and blocked by debris near Ward 1 metro station.,roads,roads,medium,Ward 1,0,1,2026-04-24T03:32:40.499022,79.53,1,resolved
CMP-928591,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 2,0,1,2026-05-02T18:02:40.499022,81.42,0,resolved
CMP-921746,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 2,0,2,2026-04-13T07:38:40.499022,44.19,0,resolved
CMP-170525,Test,"Online casino! Sign up now and get 100 free spins. Play roulette, blackjack, win real cash!",general,spam,low,Ward 2,1,23,2026-05-01T21:13:40.499022,0.0,0,rejected
CMP-175288,Streetlights broken,"None of the streetlights are working in our lane in Ward 4, making it extremely dark and unsafe at night.",electricity,electricity,low,Ward 4,0,2,2026-05-11T06:54:40.499022,9.63,0,resolved
CMP-804048,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 5,0,2,2026-04-21T09:52:40.499022,52.86,0,resolved
CMP-720054,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 8, attacking passersby.",general,general,low,Ward 8,0,1,2026-04-22T07:17:40.499022,94.42,0,resolved
CMP-692082,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 7.,general,general,low,Ward 7,0,1,2026-04-20T20:29:40.499022,52.88,0,resolved
CMP-605276,Road flooding,"Every time it rains, the street gets flooded with knee-deep water because the roadside storm drains are blocked.",roads,roads,low,Ward 2,0,2,2026-04-24T08:51:40.499022,164.21,1,resolved
CMP-435624,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 5,0,1,2026-04-10T22:44:40.499022,69.7,0,resolved
CMP-990831,Streetlights broken,"None of the streetlights are working in our lane in Ward 4, making it extremely dark and unsafe at night.",electricity,electricity,low,Ward 4,0,1,2026-04-27T10:56:40.499022,6.71,0,resolved
CMP-667806,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 1,0,2,2026-05-17T10:22:40.499022,57.12,0,resolved
CMP-419990,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 7,0,2,2026-04-21T21:30:40.499022,64.36,0,resolved
CMP-832959,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 10,0,1,2026-04-15T23:40:40.499022,53.11,0,resolved
CMP-474332,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 2,0,1,2026-04-13T05:44:40.499022,38.04,0,resolved
CMP-440404,Broken footpath,The pedestrian footpath is completely broken and blocked by debris near Ward 7 metro station.,roads,roads,medium,Ward 7,0,1,2026-04-26T08:41:40.499022,103.24,1,rejected
CMP-433931,Power outage,Unscheduled power cuts for the past 8 hours in Ward 2. Electronic items are getting damaged.,electricity,electricity,low,Ward 2,0,1,2026-04-05T15:48:40.499022,18.4,0,resolved
CMP-867680,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 6,0,1,2026-05-07T22:01:40.499022,28.38,0,resolved
CMP-364937,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 5,0,1,2026-04-19T10:58:40.499022,107.57,0,resolved
CMP-682651,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 5,0,2,2026-04-23T22:05:40.499022,72.56,0,resolved
CMP-917141,Low water pressure,The municipal water pressure is extremely low. It takes hours to fill a single bucket.,water,water,medium,Ward 1,0,2,2026-04-23T20:59:40.499022,22.84,0,resolved
CMP-433753,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 2,0,1,2026-04-19T17:27:40.499022,34.11,0,resolved
CMP-101659,Low water pressure,The municipal water pressure is extremely low. It takes hours to fill a single bucket.,water,water,medium,Ward 8,0,1,2026-04-24T21:34:40.499022,13.48,0,resolved
CMP-776218,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 2,0,1,2026-04-30T03:12:40.499022,115.72,0,resolved
CMP-662647,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 10,0,2,2026-05-05T20:13:40.499022,33.13,0,resolved
CMP-797071,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 7,0,1,2026-05-13T00:54:40.499022,46.0,0,resolved
CMP-212810,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 5,0,2,2026-04-05T06:01:40.499022,42.96,0,resolved
CMP-505568,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 8,0,1,2026-04-14T23:32:40.499022,79.43,0,rejected
CMP-123709,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 5,0,2,2026-05-12T02:05:40.499022,29.61,0,resolved
CMP-226629,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 9,0,1,2026-05-09T09:51:40.499022,20.07,0,resolved
CMP-491301,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 2,0,2,2026-05-23T09:39:40.499022,13.22,0,resolved
CMP-298332,No water supply,We have not received any drinking water supply for the last 3 days in Ward 2. Please look into this urgently.,water,water,low,Ward 2,0,2,2026-04-13T02:22:40.499022,34.06,0,resolved
CMP-112659,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 8,0,2,2026-05-07T22:28:40.499022,39.18,0,resolved
CMP-364379,Drainage leakage,Sewage water is overflowing from the main manhole and entering our house compound in Ward 3.,water,water,medium,Ward 3,0,2,2026-05-07T04:28:40.499022,27.39,0,resolved
CMP-477353,Power outage,Unscheduled power cuts for the past 8 hours in Ward 9. Electronic items are getting damaged.,electricity,electricity,low,Ward 9,0,1,2026-05-11T20:08:40.499022,15.97,0,resolved
CMP-331439,Power outage,Unscheduled power cuts for the past 8 hours in Ward 1. Electronic items are getting damaged.,electricity,electricity,low,Ward 1,0,2,2026-05-06T05:37:40.499022,10.98,0,resolved
CMP-366740,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 4,0,2,2026-04-06T22:26:40.499022,115.3,0,resolved
CMP-690362,Public toilet unhygienic,The public toilet near Ward 2 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 2,0,2,2026-05-03T04:54:40.499022,27.92,0,resolved
CMP-151990,No water supply,We have not received any drinking water supply for the last 3 days in Ward 6. Please look into this urgently.,water,water,low,Ward 6,0,1,2026-05-06T06:20:40.499022,20.85,0,resolved
CMP-785074,Clogged storm drain,"The drainage canal next to our housing society is filled with plastic bottles and black mud, emitting a bad odour.",sanitation,sanitation,low,Ward 4,0,1,2026-05-13T22:02:40.499022,33.94,0,resolved
CMP-999480,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 1,0,2,2026-05-31T09:07:40.499022,76.47,0,resolved
CMP-366320,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 1,0,1,2026-05-18T06:09:40.499022,99.51,0,rejected
CMP-387653,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 4,0,2,2026-06-03T07:35:40.499022,124.66,1,pending
CMP-320371,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 7,0,2,2026-05-10T11:08:40.499022,47.17,0,resolved
CMP-533582,Broken footpath,The pedestrian footpath is completely broken and blocked by debris near Ward 1 metro station.,roads,roads,medium,Ward 1,0,1,2026-05-22T03:58:40.499022,58.13,0,resolved
CMP-200613,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 3 hospital.,general,general,low,Ward 3,0,1,2026-04-21T08:21:40.499022,59.27,0,resolved
CMP-397987,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 9,0,2,2026-05-13T07:34:40.499022,20.84,0,resolved
CMP-675589,Streetlights broken,"None of the streetlights are working in our lane in Ward 5, making it extremely dark and unsafe at night.",electricity,electricity,low,Ward 5,0,1,2026-04-20T21:01:40.499022,20.14,0,resolved
CMP-577864,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 3,0,1,2026-04-27T19:12:40.499022,20.12,0,resolved
CMP-883693,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 8, attacking passersby.",general,general,low,Ward 8,0,2,2026-05-17T10:27:40.499022,43.14,0,resolved
CMP-896198,Dangling wire,A live high-voltage electrical cable has snapped and is hanging low over the road near Ward 9 school.,electricity,electricity,medium,Ward 9,0,2,2026-05-06T14:34:40.499022,6.12,0,resolved
CMP-751614,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 7,0,1,2026-04-23T05:52:40.499022,27.4,0,resolved
CMP-118978,Promotional Alert,"Online casino! Sign up now and get 100 free spins. Play roulette, blackjack, win real cash!",general,spam,low,Ward 3,1,5,2026-05-22T14:32:40.499022,0.0,0,rejected
CMP-681469,Meter billing issue,My digital electricity meter is running twice as fast even when all switches are turned off.,electricity,electricity,low,Ward 7,0,1,2026-05-02T08:21:40.499022,14.96,0,rejected
CMP-229663,Potholes on road,Huge potholes have formed on the main road in Ward 5. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 5,0,2,2026-04-23T02:33:40.499022,69.59,0,resolved
CMP-663812,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 3,0,2,2026-05-09T11:35:40.499022,52.51,0,rejected
CMP-641788,Public toilet unhygienic,The public toilet near Ward 10 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 10,0,2,2026-04-20T14:11:40.499022,59.6,0,resolved
CMP-947985,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 5,0,1,2026-04-08T09:49:40.499022,34.86,0,resolved
CMP-357370,Drainage leakage,Sewage water is overflowing from the main manhole and entering our house compound in Ward 6.,water,water,medium,Ward 6,0,2,2026-04-11T23:40:40.499022,15.89,0,resolved
CMP-561301,Traffic light malfunction,The traffic lights at the main crossing are flashing yellow and causing traffic jams.,roads,roads,medium,Ward 7,0,1,2026-05-03T11:00:40.499022,41.24,0,resolved
CMP-427592,Dangling wire,A live high-voltage electrical cable has snapped and is hanging low over the road near Ward 8 school.,electricity,electricity,medium,Ward 8,0,1,2026-05-19T11:34:40.499022,5.26,0,rejected
CMP-262160,No receipt generated,"The payment for property tax was successful, but no digital receipt was generated or sent.",billing,billing,low,Ward 1,0,2,2026-04-25T11:19:40.499022,46.31,0,resolved
CMP-961887,Promotional Alert,"Online casino! Sign up now and get 100 free spins. Play roulette, blackjack, win real cash!",general,spam,low,Ward 4,1,13,2026-04-21T01:03:40.499022,0.0,0,rejected
CMP-838709,No receipt generated,"The payment for property tax was successful, but no digital receipt was generated or sent.",billing,billing,low,Ward 1,0,1,2026-04-15T11:43:40.499022,21.95,0,resolved
CMP-292593,Streetlights broken,"None of the streetlights are working in our lane in Ward 6, making it extremely dark and unsafe at night.",electricity,electricity,low,Ward 6,0,2,2026-05-05T15:22:40.499022,6.67,0,resolved
CMP-821502,Meter billing issue,My digital electricity meter is running twice as fast even when all switches are turned off.,electricity,electricity,low,Ward 7,0,1,2026-04-26T22:06:40.499022,9.1,0,resolved
CMP-318061,Public toilet unhygienic,The public toilet near Ward 3 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 3,0,2,2026-04-29T08:43:40.499022,72.8,0,resolved
CMP-991236,No receipt generated,"The payment for property tax was successful, but no digital receipt was generated or sent.",billing,billing,low,Ward 4,0,1,2026-05-28T19:58:40.499022,27.41,0,rejected
CMP-628902,Road flooding,"Every time it rains, the street gets flooded with knee-deep water because the roadside storm drains are blocked.",roads,roads,low,Ward 2,0,1,2026-04-28T15:20:40.499022,74.09,0,resolved
CMP-303326,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 4, attacking passersby.",general,general,low,Ward 4,0,2,2026-05-22T01:19:40.499022,55.29,0,rejected
CMP-196874,Dead animal removal,A dead stray dog is lying on the side of the road near Ward 9 park. It is smelling terrible.,sanitation,sanitation,low,Ward 9,0,1,2026-05-16T17:35:40.499022,29.97,0,resolved
CMP-200090,Dead animal removal,A dead stray dog is lying on the side of the road near Ward 3 park. It is smelling terrible.,sanitation,sanitation,low,Ward 3,0,1,2026-04-06T08:57:40.499022,65.58,0,resolved
CMP-527271,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 1,0,1,2026-05-13T22:05:40.499022,87.85,0,resolved
CMP-908561,Promotional Alert,"Buy cheap luxury watches, Rolex, Omega. 90% discount today only at watchstore.biz",general,spam,low,Ward 10,1,14,2026-05-04T16:07:40.499022,0.0,0,rejected
CMP-539800,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 7 hospital.,general,general,low,Ward 7,0,1,2026-05-07T04:07:40.499022,103.25,0,resolved
CMP-460966,Water pipeline burst,There is a major water pipe burst on Main Street in Ward 10. Drinking water is leaking onto the road and pressure is low.,water,water,critical,Ward 10,0,1,2026-06-02T01:33:40.499022,2.76,0,pending
CMP-865495,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 3,0,1,2026-05-28T17:52:40.499022,121.18,1,resolved
CMP-929685,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 7,0,1,2026-04-23T01:42:40.499022,55.01,0,resolved
CMP-352678,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 4,0,2,2026-05-13T03:22:40.499022,38.03,0,resolved
CMP-772687,Promotional Alert,"Get rich quick, crypto tokens trading signal. Join our telegram channel for profits.",general,spam,low,Ward 3,1,9,2026-05-25T20:06:40.499022,0.0,0,rejected
CMP-893755,Power outage,Unscheduled power cuts for the past 8 hours in Ward 2. Electronic items are getting damaged.,electricity,electricity,low,Ward 2,0,2,2026-05-31T19:02:40.499022,15.36,0,resolved
CMP-848272,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 7,0,1,2026-04-28T10:59:40.499022,8.33,0,resolved
CMP-903373,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 2,0,1,2026-05-21T22:50:40.499022,92.48,0,resolved
CMP-497090,Traffic light malfunction,The traffic lights at the main crossing are flashing yellow and causing traffic jams.,roads,roads,medium,Ward 5,0,2,2026-06-02T05:33:40.499022,83.32,1,pending
CMP-171031,Dangling wire,A live high-voltage electrical cable has snapped and is hanging low over the road near Ward 2 school.,electricity,electricity,medium,Ward 2,0,2,2026-04-29T06:51:40.499022,7.12,0,resolved
CMP-481935,Transformer sparking,The electric transformer near the local market is sparking and emitting smoke. It could catch fire.,electricity,electricity,critical,Ward 4,0,1,2026-05-12T07:17:40.499022,1.42,0,resolved
CMP-271912,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 8,0,1,2026-05-09T03:14:40.499022,38.02,0,rejected
CMP-733138,Promotional Alert,"Test complaint, please ignore this. Just testing the kiosk text input box 12345.",general,spam,low,Ward 4,1,15,2026-05-25T14:22:40.499022,0.0,0,rejected
CMP-835121,Water pipeline burst,There is a major water pipe burst on Main Street in Ward 2. Drinking water is leaking onto the road and pressure is low.,water,water,critical,Ward 2,0,2,2026-04-26T00:59:40.499022,4.91,1,resolved
CMP-853636,Meter billing issue,My digital electricity meter is running twice as fast even when all switches are turned off.,electricity,electricity,low,Ward 10,0,1,2026-04-23T06:55:40.499022,20.16,0,resolved
CMP-946576,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 1.,general,general,low,Ward 1,0,2,2026-05-19T12:08:40.499022,94.85,0,resolved
CMP-170948,Low water pressure,The municipal water pressure is extremely low. It takes hours to fill a single bucket.,water,water,medium,Ward 7,0,2,2026-04-24T14:23:40.499022,12.57,0,resolved
CMP-411286,No receipt generated,"The payment for property tax was successful, but no digital receipt was generated or sent.",billing,billing,low,Ward 8,0,2,2026-05-21T03:03:40.499022,58.76,0,resolved
CMP-341863,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 3,0,2,2026-04-11T11:17:40.499022,88.41,0,resolved
CMP-877969,Incorrect billing amount,"I received a water bill of Rs. 15,000 this month. Our typical bill is Rs. 300. This is a calculation error.",billing,billing,low,Ward 4,0,2,2026-06-02T20:20:40.499022,56.91,0,pending
CMP-808222,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 8,0,2,2026-05-26T03:22:40.499022,30.37,0,resolved
CMP-643775,Dead animal removal,A dead stray dog is lying on the side of the road near Ward 6 park. It is smelling terrible.,sanitation,sanitation,low,Ward 6,0,1,2026-06-02T06:58:40.499022,68.51,0,pending
CMP-119470,Potholes on road,Huge potholes have formed on the main road in Ward 7. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 7,0,1,2026-04-29T13:41:40.499022,170.26,1,resolved
CMP-178393,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 1, attacking passersby.",general,general,low,Ward 1,0,1,2026-04-25T03:00:40.499022,101.54,0,resolved
CMP-716160,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 9,0,2,2026-04-15T04:30:40.499022,21.76,0,resolved
CMP-425233,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 6,0,2,2026-05-05T02:26:40.499022,60.41,0,resolved
CMP-332776,Public toilet unhygienic,The public toilet near Ward 2 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 2,0,1,2026-04-15T07:10:40.499022,87.95,0,resolved
CMP-739650,Clogged storm drain,"The drainage canal next to our housing society is filled with plastic bottles and black mud, emitting a bad odour.",sanitation,sanitation,low,Ward 4,0,1,2026-04-29T14:01:40.499022,70.2,0,resolved
CMP-169347,Low water pressure,The municipal water pressure is extremely low. It takes hours to fill a single bucket.,water,water,medium,Ward 10,0,1,2026-05-04T05:05:40.499022,16.38,0,resolved
CMP-271005,Potholes on road,Huge potholes have formed on the main road in Ward 1. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 1,0,1,2026-05-04T12:45:40.499022,121.8,1,resolved
CMP-619170,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 2,0,1,2026-05-29T16:28:40.499022,38.25,0,resolved
CMP-361759,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 10,0,1,2026-05-26T13:08:40.499022,8.97,0,resolved
CMP-610968,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 4,0,1,2026-04-23T11:49:40.499022,22.42,0,resolved
CMP-492818,Public toilet unhygienic,The public toilet near Ward 5 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 5,0,2,2026-05-30T18:09:40.499022,37.86,0,resolved
CMP-823979,Meter billing issue,My digital electricity meter is running twice as fast even when all switches are turned off.,electricity,electricity,low,Ward 4,0,1,2026-05-10T09:51:40.499022,6.02,0,resolved
CMP-365124,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 5,0,1,2026-05-16T23:18:40.499022,96.93,0,resolved
CMP-421998,Clogged storm drain,"The drainage canal next to our housing society is filled with plastic bottles and black mud, emitting a bad odour.",sanitation,sanitation,low,Ward 3,0,1,2026-04-10T18:05:40.499022,88.93,0,resolved
CMP-703141,Drainage leakage,Sewage water is overflowing from the main manhole and entering our house compound in Ward 10.,water,water,medium,Ward 10,0,2,2026-04-07T10:43:40.499022,28.22,0,rejected
CMP-568744,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 8,0,1,2026-05-18T22:04:40.499022,62.84,0,resolved
CMP-167993,Dangling wire,A live high-voltage electrical cable has snapped and is hanging low over the road near Ward 5 school.,electricity,electricity,medium,Ward 5,0,2,2026-04-25T00:17:40.499022,7.8,0,resolved
CMP-504663,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 3,0,2,2026-04-08T06:53:40.499022,40.98,0,resolved
CMP-744409,Open manhole,A deep sewer manhole is lying open on the middle of the road. This is a death trap for drivers.,roads,roads,low,Ward 10,0,1,2026-05-09T13:46:40.499022,160.08,1,resolved
CMP-204028,Open manhole,A deep sewer manhole is lying open on the middle of the road. This is a death trap for drivers.,roads,roads,low,Ward 7,0,1,2026-05-18T23:10:40.499022,160.87,1,resolved
CMP-997310,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 6,0,2,2026-04-18T01:12:40.499022,128.19,1,resolved
CMP-234613,Drainage leakage,Sewage water is overflowing from the main manhole and entering our house compound in Ward 10.,water,water,medium,Ward 10,0,1,2026-04-24T01:10:40.499022,24.78,0,resolved
CMP-610446,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 7,0,2,2026-04-06T16:14:40.499022,68.99,0,resolved
CMP-501865,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 9 hospital.,general,general,low,Ward 9,0,1,2026-04-13T05:38:40.499022,40.41,0,resolved
CMP-891490,Open manhole,A deep sewer manhole is lying open on the middle of the road. This is a death trap for drivers.,roads,roads,low,Ward 8,0,2,2026-04-26T22:10:40.499022,99.33,0,resolved
CMP-446816,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 4,0,2,2026-04-18T13:33:40.499022,61.8,0,resolved
CMP-855378,Potholes on road,Huge potholes have formed on the main road in Ward 6. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 6,0,2,2026-05-01T19:53:40.499022,168.36,1,resolved
CMP-447146,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 4,0,1,2026-05-24T20:08:40.499022,45.23,0,resolved
CMP-556569,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 7,0,1,2026-05-18T18:16:40.499022,81.1,0,resolved
CMP-746079,Consumer ID link error,The system says my consumer ID is invalid when I try to query my monthly dues.,billing,billing,low,Ward 2,0,2,2026-04-25T12:05:40.499022,30.31,0,resolved
CMP-838342,Clogged storm drain,"The drainage canal next to our housing society is filled with plastic bottles and black mud, emitting a bad odour.",sanitation,sanitation,low,Ward 1,0,1,2026-04-11T20:55:40.499022,96.67,0,rejected
CMP-661986,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 3.,general,general,low,Ward 3,0,2,2026-05-27T17:03:40.499022,89.22,0,resolved
CMP-288492,Road flooding,"Every time it rains, the street gets flooded with knee-deep water because the roadside storm drains are blocked.",roads,roads,low,Ward 8,0,1,2026-05-01T22:19:40.499022,124.36,1,resolved
CMP-194517,Public toilet unhygienic,The public toilet near Ward 8 bus stand has no running water and is extremely filthy.,sanitation,sanitation,low,Ward 8,0,1,2026-04-22T22:34:40.499022,94.38,0,rejected
CMP-167484,Dead animal removal,A dead stray dog is lying on the side of the road near Ward 9 park. It is smelling terrible.,sanitation,sanitation,low,Ward 9,0,2,2026-05-10T15:34:40.499022,43.02,0,resolved
CMP-903122,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 7,0,2,2026-04-27T22:32:40.499022,92.01,0,resolved
CMP-219596,Open manhole,A deep sewer manhole is lying open on the middle of the road. This is a death trap for drivers.,roads,roads,low,Ward 2,0,2,2026-05-24T08:34:40.499022,147.74,1,resolved
CMP-780572,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 6,0,1,2026-04-24T03:47:40.499022,36.59,0,resolved
CMP-506979,Stray dog menace,"A pack of aggressive stray dogs has gathered near the children's park in Ward 3, attacking passersby.",general,general,low,Ward 3,0,2,2026-05-16T15:43:40.499022,116.54,0,resolved
CMP-110078,Test,"Test complaint, please ignore this. Just testing the kiosk text input box 12345.",general,spam,low,Ward 6,1,15,2026-04-30T11:16:40.499022,0.0,0,rejected
CMP-969264,Traffic light malfunction,The traffic lights at the main crossing are flashing yellow and causing traffic jams.,roads,roads,medium,Ward 8,0,2,2026-04-08T05:16:40.499022,68.24,0,resolved
CMP-202146,Garbage dump overflow,The municipal garbage bin has not been cleared for a week. Garbage is spilling and dogs are scattering it.,sanitation,sanitation,low,Ward 4,0,2,2026-04-18T05:53:40.499022,62.42,0,resolved
CMP-627360,Open manhole,A deep sewer manhole is lying open on the middle of the road. This is a death trap for drivers.,roads,roads,low,Ward 3,0,1,2026-05-08T12:55:40.499022,145.86,1,resolved
CMP-834935,Open manhole,A deep sewer manhole is lying open on the middle of the road. This is a death trap for drivers.,roads,roads,low,Ward 3,0,2,2026-05-23T04:24:40.499022,103.8,0,resolved
